,Export Capacity (MW)
DE00-PL00 Concept 1,500.0
DE00-PL00 Concept 2,500.0
DE00-PL00 Concept 3,500.0
DE00-PLI0,2000.0
DE00RETE-DE00EV2W,3806.16932361
DE00RETE-DE00EV2W V2g,3806.16932361
DE00-SE04,615.0
DE00-SE04 Real 1,700.0
DE00-SE04 Real 2,700.0
DEKF-DKKF,400.0
DKE1-DKE1EV2W,3078.82834309
DKE1-DKE1EV2W V2g,3078.82834309
DKE1-DKE1RETE,100000.0
DKE1-DKE1SNR1,100000.0
DKE1-DKKF,400.0
DKE1-DKW1,600.0
DKE1H2MT-DKW1H2MT,100000.0
DKE1H2MT-PL00H2MT (1) Expansion,9587.5
DKE1H2MT-PL00H2MT (2) Expansion,2077.29166645
DKE1H2MT-SE04H2MT (1) Expansion,2743.75
DKE1H2MT-SE04H2MT (2) Expansion,914.5833333
DKE1H2R1-DKE1SNR1,100000.0
DKE1-PL00 Real 1,600.0
DKE1RETE-DKE1EV2W,136.27279204
DKE1RETE-DKE1EV2W V2g,136.27279204
DKE1-SE04,1700.0
DKE1-SE04 Concept 1,500.0
DKE1-SE04 Concept 2,1000.0
DKW1-DKW1EV2W,3746.11812427
DKW1-DKW1EV2W V2g,3746.11812427
DKW1-DKW1H2R1 Expansion,1000.0
DKW1-DKW1RETE,100000.0
DKW1-DKW1SNR1,100000.0
DKW1H2R1-DKW1SNR1,100000.0
DKW1-NL00,700.0
DKW1-NOS0,1640.0
DKW1RETE-DKW1EV2W,224.94150405
DKW1RETE-DKW1EV2W V2g,224.94150405
DKW1-SE03,715.0
DKW1-UK00,1400.0
EE00-EE00EV2W,2588.25432437
EE00-EE00EV2W V2g,2588.25432437
EE00-EE00RETE,100000.0
EE00-EE00SNR1,100000.0
EE00-FI00,1016.0
EE00H2MT-FI00H2MT (1) Expansion,2500.0
EE00H2MT-FI00H2MT (2) Expansion,708.33333331
EE00H2MT-LV00H2MT (1) Expansion,7623.59375
EE00H2R1-EE00SNR1,100000.0
EE00-LV00,1100.0
EE00RETE-EE00EV2W,50.61897347
EE00RETE-EE00EV2W V2g,50.61897347
ES00-ES00EV2W,20485.08259218
ES00-ES00EV2W V2g,20485.08259218
ES00-ES00H2R1 Expansion,22000.0
ES00-ES00RETE,100000.0
ES00-ES00SNR1,100000.0
ES00-FR00,5000.0
ES00-FR00 Real 1,1500.0
ES00-FR00 Real 2,1500.0
ES00H2MT-FR00H2MT (1) Expansion,7031.25
ES00H2MT-FR00H2MT (2) Expansion,2343.75
ES00H2MT-PT00H2MT (1) Expansion,4500.0
ES00H2MT-PT00H2MT (2) Expansion,195.0
ES00H2R1-ES00SNR1,100000.0
ES00-PT00,4200.0
ES00-PT00 Concept 1,500.0
ES00RETE-ES00EV2W,2435.36650128
ES00RETE-ES00EV2W V2g,2435.36650128
FI00-EE00 Concept 2,1000.0
FI00-FI00EV2W,5556.64601032
FI00-FI00EV2W V2g,5556.64601032
FI00-FI00H2R1 Expansion,11000.0
FI00-FI00RETE,100000.0
FI00-FI00SNR1,100000.0
FI00H2MT-SE01H2MT (2) Expansion,5250.0
FI00H2R1-FI00SNR1,100000.0
FI00RETE-FI00EV2W,419.40116861
FI00RETE-FI00EV2W V2g,419.40116861
FI00-SE01,1100.0
FI00-SE01 Real 1,900.0
FI00-SE02 Concept 1,500.0
FI00-SE02 Virtual 1,500.0
FI00-SE03,1200.0
FR00-BE00 Real 1,1000.0
FR00-CH00 Real 1,500.0
FR00-CH00 Real 2,1000.0
FR00-DE00 Real 1,1500.0
FR00-FR00EV2W,33702.26982131
FR00-FR00EV2W V2g,33702.26982131
FR00-FR00H2R1 Expansion,35000.0
FR00-FR00RETE,100000.0
FR00-FR00SNR1,100000.0
FR00H2R1-FR00SNR1,100000.0
FR00-IT00,4100.0
FR00-IT00 Concept 1,1000.0
FR00-LUF1,380.0
FR00RETE-FR00EV2W,3753.8244913
FR00RETE-FR00EV2W V2g,3753.8244913
FR00-UK00,4000.0
FR00-UK00 Real 2,1400.0
FR15-IT00,70.0
GR00-GR00EV2W,5923.06008205
GR00-GR00EV2W V2g,5923.06008205
GR00-GR00H2R1 Expansion,5000.0
GR00-GR00RETE,100000.0
GR00-GR00SNR1,100000.0
GR00-GR03,800.0
GR00H2MT-IT00H2MT (1) Expansion,7406.25
GR00H2R1-GR00SNR1,100000.0
GR00-IT00,500.0
GR00-MA00 Real 1,2000.0
GR00-MK00,1100.0
GR00-MK00 Concept 1,500.0
GR00-MK00 Real 1,500.0
GR00RETE-GR00EV2W,440.20284393
GR00RETE-GR00EV2W V2g,440.20284393
GR00-TR00,660.0
GR00-TR00 Concept 1,500.0
GR00-TR00 Concept 2,500.0
GR00-TR00 Real 1,600.0
GR00-TR00 Virtual 1,500.0
GR00-TR00 Virtual 2,500.0
GR03-GR00 Real 1,2000.0
HR00H2MT-HU00H2MT (1) Expansion,1121.175
HR00H2MT-SI00H2MT (1) Expansion,240.625
HR00H2R1-HR00SNR1,100000.0
HR00-HR00EV2W,2384.43123328
HR00-HR00EV2W V2g,2384.43123328
HR00-HR00RETE,100000.0
HR00-HR00SNR1,100000.0
HR00-HU00,1700.0
HR00RETE-HR00EV2W,134.13511225
HR00RETE-HR00EV2W V2g,134.13511225
HR00-RS00,480.0
HR00-RS00 Concept 1,500.0
HR00-RS00 Real 1,600.0
HR00-SI00,2000.0
HU00H2MT-RO00H2MT (1) Expansion,23300.0
HU00H2MT-RO00H2MT (2) Expansion,7766.666667
HU00H2MT-SK00H2MT (1) Expansion,20868.75
HU00H2MT-SK00H2MT (2) Expansion,6956.25
HU00H2R1-HU00SNR1,100000.0
HU00-HU00EV2W,4961.66044827
HU00-HU00EV2W V2g,4961.66044827
HU00-HU00H2R1 Expansion,4000.0
HU00-HU00RETE,100000.0
HU00-HU00SNR1,100000.0
HU00RETE-HU00EV2W,298.10389066
HU00RETE-HU00EV2W V2g,298.10389066
HU00-RO00,1000.0
HU00-RS00,680.0
HU00-RS00 Real 1,500.0
HU00-SI00,1200.0
HU00-SK00,1800.0
HU00-SK00 Concept 2,500.0
HU00-UA01,450.0
IE00H2MT-UK00H2MT (1) Expansion,4343.75
IE00H2MT-UK00H2MT (2) Expansion,246.14583339
IE00H2MT-UKNIH2MT,100000.0
IE00H2R1-IE00SNR1,100000.0
IE00-IE00EV2W,4140.09789599
IE00-IE00EV2W V2g,4140.09789599
IE00-IE00H2R1 Expansion,3000.0
IE00-IE00RETE,100000.0
IE00-IE00SNR1,100000.0
IE00RETE-IE00EV2W,230.97973183
IE00RETE-IE00EV2W V2g,230.97973183
IE00-UK00,500.0
IE00-UK00 Real 1,504.0
IE00-UK00 Real 2,750.0
IE00-UKNI,1250.0
IT00-AT00 Real 1,150.0
IT00-CH00 Real 1,1000.0
IT00-CH00 Real 2,200.0
IT00H2MT-SI00H2MT (1) Expansion,884.375
IT00H2R1-IT00SNR1,500000.0
IT00-IT00EV2W,38564.626027720005
IT00-IT00EV2W V2g,38564.626027720005
IT00-IT00H2R1 Expansion,23000.0
IT00-IT00HER4 Expansion,1000.0
IT00-IT00RETE,600000.0
IT00-IT00SNR1,500000.0
IT00-ME00,600.0
IT00-MT00,200.0
IT00RETE-IT00EV2W,2949.8578539
IT00RETE-IT00EV2W V2g,2949.8578539
IT00-SI00,660.0
IT00-SI00 Real 1,125.0
IT00-SI00 Real 2,20.0
LT00H2MT-LV00H2MT (1) Expansion,4077.1875
LT00H2MT-LV00H2MT (2) Expansion,298.99375
LT00H2MT-PL00H2MT (1) Expansion,1821.875
LT00H2MT-PL00H2MT (2) Expansion,607.2916667
LT00H2R1-LT00SNR1,100000.0
LT00-LT00EV2W,3074.03262548
LT00-LT00EV2W V2g,3074.03262548
LT00-LT00H2R1 Expansion,1000.0
LT00-LT00RETE,100000.0
LT00-LT00SNR1,100000.0
LT00-LV00,950.0
LT00-PL00,500.0
LT00-PL00 Real 1,700.0
LT00RETE-LT00EV2W,75.06007979
LT00RETE-LT00EV2W V2g,75.06007979
LT00-SE04,700.0
LV00H2R1-LV00SNR1,100000.0
LV00-LV00EV2W,2618.66594815
LV00-LV00EV2W V2g,2618.66594815
LV00-LV00RETE,100000.0
LV00-LV00SNR1,100000.0
LV00RETE-LV00EV2W,59.35669632
LV00RETE-LV00EV2W V2g,59.35669632
MA00-ES00,600.0
MA00H2MT-ES00H2MT,100000.0
MA00H2MT-IT00H2MT,100000.0
ME00-RS00,580.0
MK00-AL00 Real 1,500.0
MK00-AL00 Virtual 1,1000.0
MK00-RS00,450.0
MK00-RS00 Concept 2,500.0
MK00-RS00 Virtual 2,500.0
NL00H2R1-NL00SNR1,100000.0
NL00-NL00EV2W,5796.69816781
NL00-NL00EV2W V2g,5796.69816781
NL00-NL00H2R1 Expansion,4000.0
NL00-NL00RETE,100000.0
NL00-NL00SNR1,100000.0
NL00-NOS0,700.0
NL00RETE-NL00EV2W,957.95001084
NL00RETE-NL00EV2W V2g,957.95001084
NL00-UK00,1000.0
NL00-UK00 Real 1,2000.0
NO00H2MT-BE00H2MT,100000.0
NO00H2MT-DE00H2MT,100000.0
NO00H2MT-FR00H2MT,100000.0
NO00H2MT-NL00H2MT,100000.0
NO00H2MT-UK00H2MT,100000.0
NOM1-NON1,1300.0
NOM1-NOS0,1400.0
NOM1-SE02,600.0
NON1-SE01,700.0
NON1-SE02,250.0
NOS0-SE03,2145.0
NOS0-UK00 Real 1,1400.0
NOS0-UK00 Real 2,1400.0
PL00H2MT-SK00H2MT (1) Expansion,4496.875
PL00H2MT-SK00H2MT (2) Expansion,1498.958333
PL00H2R1-PL00SNR1,100000.0
PL00-PL00EV2W,12604.86041562
PL00-PL00EV2W V2g,12604.86041562
PL00-PL00H2R1 Expansion,8000.0
PL00-PL00RETE,100000.0
PL00-PL00SNR1,100000.0
PL00-PLE0,3000.0
PL00RETE-PL00EV2W,951.00733948
PL00RETE-PL00EV2W V2g,951.00733948
PL00-SE04,600.0
PLE0-CZ00,800.0
PLE0-DE00,3000.0
PLE0-SK00,990.0
PLI0-PL00,2000.0
PT00H2R1-PT00SNR1,100000.0
PT00-PT00EV2W,7085.74854772
PT00-PT00EV2W V2g,7085.74854772
PT00-PT00H2R1 Expansion,8000.0
PT00-PT00RETE,100000.0
PT00-PT00SNR1,100000.0
PT00RETE-PT00EV2W,413.31122901
PT00RETE-PT00EV2W V2g,413.31122901
RO00H2R1-RO00SNR1,100000.0
RO00RETE-RO00EV2W,372.89474481
RO00RETE-RO00EV2W V2g,372.89474481
RO00-RO00EV2W,7390.79220408
RO00-RO00EV2W V2g,7390.79220408
RO00-RO00H2R1 Expansion,2000.0
RO00-RO00RETE,100000.0
RO00-RO00SNR1,100000.0
RO00-RS00,476.0
RO00-RS00 Real 1,680.0
RO00-RS00 Real 2,844.0
RO00-UA01,150.0
RU00H2MT-DE00H2MT,100000.0
RU00-LV00,300.0
RU00-NON1,50.0
SE01H2MT-SE02H2MT,100000.0
SE01H2R1-SE01SNR1,100000.0
SE01RETE-SE01EV2W,70.40275337
SE01RETE-SE01EV2W V2g,70.40275337
SE01-SE01EV2W,2412.19546354
SE01-SE01EV2W V2g,2412.19546354
SE01-SE01RETE,100000.0
SE01-SE01SNR1,100000.0
SE01-SE02,3300.0
SE02H2MT-SE03H2MT,100000.0
SE02H2R1-SE02SNR1,100000.0
SE02RETE-SE02EV2W,119.74459997
SE02RETE-SE02EV2W V2g,119.74459997
SE02-SE02EV2W,2672.15687677
SE02-SE02EV2W V2g,2672.15687677
SE02-SE02H2R1 Expansion,1000.0
SE02-SE02RETE,100000.0
SE02-SE02SNR1,100000.0
SE02-SE03,8900.0
SE03H2MT-SE04H2MT,100000.0
SE03H2R1-SE03SNR1,100000.0
SE03-LV00 Real 1,500.0
SE03RETE-SE03EV2W,626.99951423
SE03RETE-SE03EV2W V2g,626.99951423
SE03-SE03EV2W,5346.04569649
SE03-SE03EV2W V2g,5346.04569649
SE03-SE03H2R1 Expansion,2000.0
SE03-SE03RETE,100000.0
SE03-SE03SNR1,100000.0
SE03-SE04,6200.0
SE04H2R1-SE04SNR1,100000.0
SE04RETE-SE04EV2W,169.14048167
SE04RETE-SE04EV2W V2g,169.14048167
SE04-SE04EV2W,2932.11828944
SE04-SE04EV2W V2g,2932.11828944
SE04-SE04H2R1 Expansion,3000.0
SE04-SE04RETE,100000.0
SE04-SE04SNR1,100000.0
SI00H2R1-SI00SNR1,100000.0
SI00RETE-SI00EV2W,123.42270175
SI00RETE-SI00EV2W V2g,123.42270175
SI00-SI00EV2W,3122.0230041
SI00-SI00EV2W V2g,3122.0230041
SI00-SI00RETE,100000.0
SI00-SI00SNR1,100000.0
SK00H2R1-SK00SNR1,100000.0
SK00-PL00 Concept 2,500.0
SK00-PLI0,990.0
SK00RETE-SK00EV2W,169.04691185
SK00RETE-SK00EV2W V2g,169.04691185
SK00-SK00EV2W,3503.34566609
SK00-SK00EV2W V2g,3503.34566609
SK00-SK00RETE,100000.0
SK00-SK00SNR1,100000.0
SK00-UA01,650.0
TN00-IT00,600.0
TR00H2MT-BG00H2MT,100000.0
UK00-BE00 Real 1,1400.0
UK00-BE00 Real 2,1400.0
UK00H2R1-UK00SNR1,100000.0
UK00-NOS0,1400.0
UK00RETE-UK00EV2W,3556.31254072
UK00RETE-UK00EV2W V2g,3556.31254072
UK00-UK00EV2W,54872.33721247
UK00-UK00EV2W V2g,54872.33721247
UK00-UK00H2R1 Expansion,4000.0
UK00-UK00RETE,100000.0
UK00-UK00SNR1,100000.0
UK00-UKNI,450.0
UK00-UKNI Real 1,700.0
UKNIH2R1-UKNISNR1,100000.0
UKNIRETE-UKNIEV2W,51.2645773
UKNIRETE-UKNIEV2W V2g,51.2645773
UKNI-UKNIEV2W,2486.12296028
UKNI-UKNIEV2W V2g,2486.12296028
UKNI-UKNIH2R1 Expansion,1000.0
UKNI-UKNIRETE,100000.0
UKNI-UKNISNR1,100000.0
