,Export Capacity (MW)
BG00-BG00EV2W V2g,5524.75806455
BG00-BG00H2R1 Expansion,8000.0
BG00-BG00RETE,100000.0
BG00-BG00SNR1,100000.0
BG00-GR00,1700.0
BG00H2MT-BG00H2C3 Expansion,91.12172743
BG00H2MT-GR00H2MT (1) Expansion,3830.625
BG00H2MT-RO00H2MT (1) Expansion,5709.75
BG00H2R1-BG00SNR1,100000.0
BG00-MK00,500.0
BG00RETE-BG00EV2W,671.79669825
BG00RETE-BG00EV2W V2g,671.79669825
BG00-RO00,1500.0
BG00-RS00,320.0
BG00-RS00 Real 1,490.0
BG00-TR00,900.0
BG00-TR00 Concept 1,500.0
BG00-TR00 Concept 2,500.0
BG00-TR00 Real 1,1100.0
BG00-TR00 Virtual 1,500.0
BG00-TR00 Virtual 2,500.0
CH00-DE00,4200.0
CH00-FR00,1300.0
CH00-FR00 Concept 1,1000.0
CH00H2MT-DE00H2MT (1) Expansion,7242.905688
CH00H2MT-FR00H2MT (1) Expansion,3125.0
CH00H2MT-IT00H2MT (1) Expansion,10325.25
CH00-IT00,3750.0
CY00-GR03 Real 1,1000.0
CZ00-CZ00EV2W,6680.80155184
CZ00-CZ00EV2W V2g,6680.80155184
CZ00-CZ00H2R1 Expansion,10000.0
CZ00-CZ00RETE,100000.0
CZ00-CZ00SNR1,100000.0
CZ00-DE00,2100.0
CZ00-DE00 Real 1,500.0
CZ00H2MT-CZ00H2C3 Expansion,267.6024743
CZ00H2MT-DE00H2MT (1) Expansion,19406.56719
CZ00H2MT-PL00H2MT (1) Expansion,7721.875
CZ00H2MT-SK00H2MT (1) Expansion,16362.9375
CZ00H2R1-CZ00SNR1,100000.0
CZ00-PL00 Concept 1,500.0
CZ00-PL00 Concept 2,500.0
CZ00-PL00 Concept 3,500.0
CZ00-PL00 Virtual 1,500.0
CZ00-PLI0,600.0
CZ00RETE-CZ00EV2W,969.84081423
CZ00RETE-CZ00EV2W V2g,969.84081423
CZ00-SK00,1800.0
CZ00-SK00 Real 1,500.0
DE00-CH00 Real 2,600.0
DE00-DE00EV2W,49586.10740637
DE00-DE00EV2W V2g,49586.10740637
DE00-DE00H2R1 Expansion,49000.0
DE00-DE00RETE,100000.0
DE00-DE00SNR1,100000.0
DE00-DEKF,400.0
DE00-DKE1,600.0
DE00-DKE1 Concept 1,500.0
DE00-DKE1 Concept 2,500.0
DE00-DKE1 Real 1,600.0
DE00-DKW1,3500.0
DE00-FR00,3300.0
DE00H2MT-DE00H2C3 Expansion,2765.41732
DE00H2MT-DKE1H2MT (1) Expansion,3865.625
DE00H2MT-DKE1H2MT (2) Expansion,1288.541667
DE00H2MT-FR00H2MT (1) Expansion,19375.0
DE00H2MT-NL00H2MT (1) Expansion,15725.0
DE00H2MT-PL00H2MT (1) Expansion,7296.875
DE00-LUG1,1000.0
DE00-LUV1,1300.0
DE00-NL00,5000.0
DE00-NOS0,1400.0
DE00-PL00 Concept 1,500.0
DE00-PL00 Concept 2,500.0
DE00-PL00 Concept 3,500.0
DE00-PLI0,2000.0
DE00RETE-DE00EV2W,9243.13015068
DE00RETE-DE00EV2W V2g,9243.13015068
DE00-SE04,615.0
DE00-SE04 Concept 1,500.0
DE00-SE04 Concept 2,500.0
DE00-SE04 Concept 3,500.0
DE00-SE04 Real 1,700.0
DE00-SE04 Real 2,700.0
DEKF-DKKF,400.0
DKE1-DKE1EV2W,3715.80545341
DKE1-DKE1EV2W V2g,3715.80545341
DKE1-DKE1H2R1 Expansion,1000.0
DKE1-DKE1RETE,100000.0
DKE1-DKE1SNR1,100000.0
DKE1-DKKF,400.0
DKE1-DKW1,600.0
DKE1H2MT-DKE1H2C3 Expansion,51.60826126
DKE1H2MT-DKW1H2MT,100000.0
DKE1H2MT-PL00H2MT (1) Expansion,9587.5
DKE1H2MT-PL00H2MT (2) Expansion,3195.833333
DKE1H2MT-SE04H2MT (1) Expansion,2743.75
DKE1H2MT-SE04H2MT (2) Expansion,914.5833333
DKE1H2R1-DKE1SNR1,100000.0
DKE1-PL00 Real 1,600.0
DKE1RETE-DKE1EV2W,408.20491007
DKE1RETE-DKE1EV2W V2g,408.20491007
DKE1-SE04,1700.0
DKE1-SE04 Concept 1,500.0
DKE1-SE04 Concept 2,1000.0
DKE1-SE04 Virtual 2,1000.0
DKW1-DKW1EV2W,4595.60061121
DKW1-DKW1EV2W V2g,4595.60061121
DKW1-DKW1H2R1 Expansion,2000.0
DKW1-DKW1RETE,100000.0
DKW1-DKW1SNR1,100000.0
DKW1H2MT-DKW1H2C3 Expansion,84.78500064
DKW1H2R1-DKW1SNR1,100000.0
DKW1-NL00,700.0
DKW1-NOS0,1640.0
DKW1RETE-DKW1EV2W,541.52570407
DKW1RETE-DKW1EV2W V2g,541.52570407
DKW1-SE03,715.0
DKW1-SE03 Concept 1,500.0
DKW1-SE03 Concept 2,1000.0
DKW1-UK00,1400.0
DKW1-UK00 Real 1,1400.0
EE00-EE00EV2W,3069.00303269
EE00-EE00EV2W V2g,3069.00303269
EE00-EE00H2R1 Expansion,1000.0
EE00-EE00RETE,100000.0
EE00-EE00SNR1,100000.0
EE00-FI00,1016.0
EE00H2MT-FI00H2MT (1) Expansion,2500.0
EE00H2MT-FI00H2MT (2) Expansion,833.3333333
EE00H2MT-LV00H2MT (1) Expansion,7859.375
EE00H2MT-LV00H2MT (2) Expansion,209.58333336
EE00H2R1-EE00SNR1,100000.0
EE00-LV00,1100.0
EE00RETE-EE00EV2W,136.70087142
EE00RETE-EE00EV2W V2g,136.70087142
ES00-ES00EV2W,25694.65912736
ES00-ES00EV2W V2g,25694.65912736
ES00-ES00H2R1 Expansion,37000.0
ES00-ES00RETE,100000.0
ES00-ES00SNR1,100000.0
ES00-FR00,5000.0
ES00-FR00 Concept 1,1500.0
ES00-FR00 Concept 2,1500.0
ES00-FR00 Real 1,1500.0
ES00-FR00 Real 2,1500.0
ES00H2MT-ES00H2C3 Expansion,773.6239854
ES00H2MT-FR00H2MT (1) Expansion,7031.25
ES00H2MT-FR00H2MT (2) Expansion,2343.75
ES00H2MT-PT00H2MT (1) Expansion,4500.0
ES00H2MT-PT00H2MT (2) Expansion,1500.0
ES00H2R1-ES00SNR1,100000.0
ES00-PT00,4200.0
ES00-PT00 Concept 1,500.0
ES00-PT00 Concept 2,500.0
ES00-PT00 Concept 3,1000.0
ES00RETE-ES00EV2W,6389.21119764
ES00RETE-ES00EV2W V2g,6389.21119764
FI00-EE00 Concept 1,500.0
FI00-EE00 Concept 2,1000.0
FI00-FI00EV2W,6797.58476163
FI00-FI00EV2W V2g,6797.58476163
FI00-FI00H2R1 Expansion,22000.0
FI00-FI00RETE,100000.0
FI00-FI00SNR1,100000.0
FI00H2MT-FI00H2C3 Expansion,279.2157467
FI00H2MT-SE01H2MT (2) Expansion,9375.0
FI00H2R1-FI00SNR1,100000.0
FI00-NON1 Concept 2,1000.0
FI00RETE-FI00EV2W,1191.33133291
FI00RETE-FI00EV2W V2g,1191.33133291
FI00-SE01,1100.0
FI00-SE01 Real 1,900.0
FI00-SE02 Concept 1,500.0
FI00-SE02 Virtual 1,500.0
FI00-SE03,1200.0
FI00-SE03 Concept 2,1000.0
FR00-BE00 Real 1,1000.0
FR00-CH00 Real 1,500.0
FR00-CH00 Real 2,1000.0
FR00-DE00 Real 1,1500.0
FR00-FR00EV2W,45686.00346591
FR00-FR00EV2W V2g,45686.00346591
FR00-FR00H2R1 Expansion,46000.0
FR00-FR00RETE,100000.0
FR00-FR00SNR1,100000.0
FR00H2MT-FR00H2C3 Expansion,1528.956605
FR00H2R1-FR00SNR1,100000.0
FR00-IT00,4100.0
FR00-LUF1,380.0
FR00RETE-FR00EV2W,7565.24189741
FR00RETE-FR00EV2W V2g,7565.24189741
FR00-UK00,4000.0
FR00-UK00 Real 1,2000.0
FR00-UK00 Real 2,1400.0
FR15-IT00,70.0
GR00-GR00EV2W,7465.81239956
GR00-GR00EV2W V2g,7465.81239956
GR00-GR00H2R1 Expansion,9000.0
GR00-GR00RETE,100000.0
GR00-GR00SNR1,100000.0
GR00-GR03,800.0
GR00H2MT-GR00H2C3 Expansion,196.926085
GR00H2MT-IT00H2MT (1) Expansion,3555.0
GR00H2R1-GR00SNR1,100000.0
GR00-IT00,500.0
GR00-IT00 Concept 2,500.0
GR00-IT00 Virtual 2,500.0
GR00-MA00 Real 1,2000.0
GR00-MK00,1100.0
GR00-MK00 Concept 1,500.0
GR00-MK00 Real 1,500.0
GR00RETE-GR00EV2W,1322.87477898
GR00RETE-GR00EV2W V2g,1322.87477898
GR00-TR00,660.0
GR00-TR00 Concept 1,500.0
GR00-TR00 Concept 2,500.0
GR00-TR00 Real 1,600.0
GR00-TR00 Virtual 1,500.0
GR00-TR00 Virtual 2,500.0
GR03-GR00 Real 1,2000.0
HR00H2MT-HR00H2C3 Expansion,43.32487872
HR00H2MT-HU00H2MT (1) Expansion,1698.75
HR00H2MT-SI00H2MT (1) Expansion,240.625
HR00H2R1-HR00SNR1,100000.0
HR00-HR00EV2W,3175.71748303
HR00-HR00EV2W V2g,3175.71748303
HR00-HR00H2R1 Expansion,5000.0
HR00-HR00RETE,100000.0
HR00-HR00SNR1,100000.0
HR00-HU00,1700.0
HR00RETE-HR00EV2W,326.51227384
HR00RETE-HR00EV2W V2g,326.51227384
HR00-RS00,480.0
HR00-RS00 Real 1,600.0
HR00-SI00,2000.0
HR00-SI00 Concept 1,1000.0
HU00H2MT-HU00H2C3 Expansion,210.3328389
HU00H2MT-RO00H2MT (1) Expansion,23300.0
HU00H2MT-RO00H2MT (2) Expansion,7766.666667
HU00H2MT-SK00H2MT (1) Expansion,20868.75
HU00H2MT-SK00H2MT (2) Expansion,6956.25
HU00H2R1-HU00SNR1,100000.0
HU00-HU00EV2W,6198.24504311
HU00-HU00EV2W V2g,6198.24504311
HU00-HU00H2R1 Expansion,11000.0
HU00-HU00RETE,100000.0
HU00-HU00SNR1,100000.0
HU00RETE-HU00EV2W,1004.79565989
HU00RETE-HU00EV2W V2g,1004.79565989
HU00-RO00,1000.0
HU00-RO00 Real 1,500.0
HU00-RS00,680.0
HU00-RS00 Real 1,500.0
HU00-SI00,1200.0
HU00-SK00,1800.0
HU00-SK00 Concept 1,500.0
HU00-SK00 Concept 2,500.0
HU00-SK00 Virtual 2,500.0
HU00-UA01,450.0
IE00-FR00 Real 1,700.0
IE00H2MT-IE00H2C3 Expansion,90.96890283
IE00H2MT-UK00H2MT (1) Expansion,4343.75
IE00H2MT-UK00H2MT (2) Expansion,1447.916667
IE00H2MT-UKNIH2MT,100000.0
IE00H2R1-IE00SNR1,100000.0
IE00-IE00EV2W,5115.04734208
IE00-IE00EV2W V2g,5115.04734208
IE00-IE00H2R1 Expansion,4000.0
IE00-IE00RETE,100000.0
IE00-IE00SNR1,100000.0
IE00RETE-IE00EV2W,564.52342024
IE00RETE-IE00EV2W V2g,564.52342024
IE00-UK00,500.0
IE00-UK00 Real 1,504.0
IE00-UK00 Real 2,750.0
IE00-UKNI,1250.0
IT00-AT00 Real 1,150.0
IT00-CH00 Real 2,200.0
IT00H2MT-IT00H2C3 Expansion,1258.61971062
IT00H2MT-SI00H2MT (1) Expansion,884.375
IT00H2R1-IT00SNR1,500000.0
IT00-IT00EV2W,48784.885657650004
IT00-IT00EV2W V2g,48784.885657650004
IT00-IT00H2R1 Expansion,25000.0
IT00-IT00HER4 Expansion,1000.0
IT00-IT00RETE,600000.0
IT00-IT00SNR1,500000.0
IT00-ME00,600.0
IT00-ME00 Real 1,600.0
IT00-MT00,200.0
IT00RETE-IT00EV2W,6808.365753600001
IT00RETE-IT00EV2W V2g,6808.365753600001
IT00-SI00,660.0
IT00-SI00 Real 1,125.0
IT00-SI00 Real 2,20.0
IT00-SI00 Real 3,1000.0
LT00H2MT-LT00H2C3 Expansion,49.70489164
LT00H2MT-LV00H2MT (1) Expansion,4077.1875
LT00H2MT-LV00H2MT (2) Expansion,475.671875
LT00H2MT-PL00H2MT (1) Expansion,1821.875
LT00H2MT-PL00H2MT (2) Expansion,607.2916667
LT00H2R1-LT00SNR1,100000.0
LT00-LT00EV2W,3709.48248962
LT00-LT00EV2W V2g,3709.48248962
LT00-LT00H2R1 Expansion,2000.0
LT00-LT00RETE,100000.0
LT00-LT00SNR1,100000.0
LT00-LV00,950.0
LT00-PL00,500.0
LT00-PL00 Real 1,700.0
LT00RETE-LT00EV2W,328.81936722
LT00RETE-LT00EV2W V2g,328.81936722
LT00-SE04,700.0
LV00H2MT-LV00H2C3 Expansion,30.97669389
LV00H2R1-LV00SNR1,100000.0
LV00-LV00EV2W,3109.09955446
LV00-LV00EV2W V2g,3109.09955446
LV00-LV00H2R1 Expansion,1000.0
LV00-LV00RETE,100000.0
LV00-LV00SNR1,100000.0
LV00RETE-LV00EV2W,150.6733713
LV00RETE-LV00EV2W V2g,150.6733713
MA00-ES00,600.0
MA00H2MT-ES00H2MT,100000.0
MA00H2MT-IT00H2MT,100000.0
ME00-RS00,580.0
MK00-AL00 Concept 2,500.0
MK00-AL00 Real 1,500.0
MK00-AL00 Virtual 1,1000.0
MK00-RS00,450.0
MK00-RS00 Concept 2,500.0
MK00-RS00 Virtual 2,500.0
NL00H2MT-NL00H2C3 Expansion,882.9787511
NL00H2MT-UK00H2MT (1) Expansion,8336.25
NL00H2R1-NL00SNR1,100000.0
NL00-NL00EV2W,11588.36070776
NL00-NL00EV2W V2g,11588.36070776
NL00-NL00H2R1 Expansion,6000.0
NL00-NL00RETE,100000.0
NL00-NL00SNR1,100000.0
NL00-NOS0,700.0
NL00RETE-NL00EV2W,2359.32594427
NL00RETE-NL00EV2W V2g,2359.32594427
NL00-UK00,1000.0
NL00-UK00 Real 1,2000.0
NO00H2MT-BE00H2MT,100000.0
NO00H2MT-DE00H2MT,100000.0
NO00H2MT-FR00H2MT,100000.0
NO00H2MT-NL00H2MT,100000.0
NO00H2MT-UK00H2MT,100000.0
NOM1-NON1,1300.0
NOM1-NOS0,1400.0
NOM1-SE02,600.0
NON1-SE01,700.0
NON1-SE02,250.0
NOS0-SE03,2145.0
NOS0-SE03 Concept 2,1000.0
NOS0-UK00 Real 1,1400.0
NOS0-UK00 Real 2,1400.0
PL00H2MT-PL00H2C3 Expansion,617.3350441
PL00H2MT-SK00H2MT (1) Expansion,4496.875
PL00H2MT-SK00H2MT (2) Expansion,1498.958333
PL00H2R1-PL00SNR1,100000.0
PL00-PL00EV2W,14764.41608626
PL00-PL00EV2W V2g,14764.41608626
PL00-PL00H2R1 Expansion,21000.0
PL00-PL00HER4 Expansion,5000.0
PL00-PL00RETE,100000.0
PL00-PL00SNR1,100000.0
PL00-PLE0,3000.0
PL00RETE-PL00EV2W,2599.21179625
PL00RETE-PL00EV2W V2g,2599.21179625
PL00-SE04,600.0
PLE0-CZ00,800.0
PLE0-DE00,3000.0
PLE0-SK00,990.0
PLI0-PL00,2000.0
PT00H2MT-PT00H2C3 Expansion,145.5924917
PT00H2R1-PT00SNR1,100000.0
PT00-PT00EV2W,8314.58999132
PT00-PT00EV2W V2g,8314.58999132
PT00-PT00H2R1 Expansion,12000.0
PT00-PT00RETE,100000.0
PT00-PT00SNR1,100000.0
PT00RETE-PT00EV2W,1145.40948987
PT00RETE-PT00EV2W V2g,1145.40948987
RO00H2MT-RO00H2C3 Expansion,303.0533473
RO00H2R1-RO00SNR1,100000.0
RO00RETE-RO00EV2W,2085.75106787
RO00RETE-RO00EV2W V2g,2085.75106787
RO00-RO00EV2W,9400.95908319
RO00-RO00EV2W V2g,9400.95908319
RO00-RO00H2R1 Expansion,21000.0
RO00-RO00RETE,100000.0
RO00-RO00SNR1,100000.0
RO00-RS00,476.0
RO00-RS00 Real 1,680.0
RO00-RS00 Real 2,844.0
RO00-UA01,150.0
RU00-LV00,300.0
RU00-NON1,50.0
SE01H2MT-SE01H2C3 Expansion,16.40488398
SE01H2MT-SE02H2MT,100000.0
SE01H2R1-SE01SNR1,100000.0
SE01RETE-SE01EV2W,165.46878902
SE01RETE-SE01EV2W V2g,165.46878902
SE01-SE01EV2W,2836.87639535
SE01-SE01EV2W V2g,2836.87639535
SE01-SE01H2R1 Expansion,1000.0
SE01-SE01RETE,100000.0
SE01-SE01SNR1,100000.0
SE01-SE02,3300.0
SE02H2MT-SE02H2C3 Expansion,27.88830276
SE02H2MT-SE03H2MT,100000.0
SE02H2R1-SE02SNR1,100000.0
SE02RETE-SE02EV2W,283.69223359
SE02RETE-SE02EV2W V2g,283.69223359
SE02-SE02EV2W,3179.62522608
SE02-SE02EV2W V2g,3179.62522608
SE02-SE02H2R1 Expansion,2000.0
SE02-SE02RETE,100000.0
SE02-SE02SNR1,100000.0
SE02-SE03,8900.0
SE03H2MT-SE03H2C3 Expansion,146.0034674
SE03H2MT-SE04H2MT,100000.0
SE03H2R1-SE03SNR1,100000.0
SE03RETE-SE03EV2W,1471.7995019
SE03RETE-SE03EV2W V2g,1471.7995019
SE03-SE03EV2W,6705.04177263
SE03-SE03EV2W V2g,6705.04177263
SE03-SE03H2R1 Expansion,9000.0
SE03-SE03RETE,100000.0
SE03-SE03SNR1,100000.0
SE03-SE04,6200.0
SE04H2MT-SE04H2C3 Expansion,39.37172155
SE04H2R1-SE04SNR1,100000.0
SE04RETE-SE04EV2W,397.3508653
SE04RETE-SE04EV2W V2g,397.3508653
SE04-SE04EV2W,3522.37405681
SE04-SE04EV2W V2g,3522.37405681
SE04-SE04H2R1 Expansion,3000.0
SE04-SE04RETE,100000.0
SE04-SE04SNR1,100000.0
SI00H2MT-SI00H2C3 Expansion,37.79024916
SI00H2R1-SI00SNR1,100000.0
SI00RETE-SI00EV2W,261.255484
SI00RETE-SI00EV2W V2g,261.255484
SI00-SI00EV2W,3772.75590391
SI00-SI00EV2W V2g,3772.75590391
SI00-SI00RETE,100000.0
SI00-SI00SNR1,100000.0
SK00H2MT-SK00H2C3 Expansion,104.2685879
SK00H2R1-SK00SNR1,100000.0
SK00-PL00 Concept 1,500.0
SK00-PL00 Concept 2,500.0
SK00-PL00 Virtual 2,500.0
SK00-PLI0,990.0
SK00RETE-SK00EV2W,414.01176424
SK00RETE-SK00EV2W V2g,414.01176424
SK00-SK00EV2W,4469.89775378
SK00-SK00EV2W V2g,4469.89775378
SK00-SK00RETE,100000.0
SK00-SK00SNR1,100000.0
SK00-UA01,650.0
TN00-IT00,600.0
UA00H2MT-SK00H2MT,100000.0
UK00-FR00 Real 1,1000.0
UK00H2MT-UK00H2C3 Expansion,1432.018252
UK00H2R1-UK00SNR1,100000.0
UK00-NOS0,1400.0
UK00RETE-UK00EV2W,8471.57596652
UK00RETE-UK00EV2W V2g,8471.57596652
UK00-UK00EV2W,63411.462249
UK00-UK00EV2W V2g,63411.462249
UK00-UK00H2R1 Expansion,14000.0
UK00-UK00RETE,100000.0
UK00-UK00SNR1,100000.0
UK00-UKNI,450.0
UK00-UKNI Real 1,700.0
UKNIH2MT-UKNIH2C3 Expansion,19.29643393
UKNIH2R1-UKNISNR1,100000.0
UKNIRETE-UKNIEV2W,146.10887436
UKNIRETE-UKNIEV2W V2g,146.10887436
UKNI-UKNIEV2W,2934.34687306
UKNI-UKNIEV2W V2g,2934.34687306
UKNI-UKNIH2R1 Expansion,1000.0
UKNI-UKNIRETE,100000.0
UKNI-UKNISNR1,100000.0
