node,nodeline,fuel,DistributedEnergy_1995_generation,DistributedEnergy_2008_generation,DistributedEnergy_2009_generation,GlobalAmbition_1995_generation,GlobalAmbition_2008_generation,GlobalAmbition_2009_generation
BE00,BE00,Other Non RES,1683.53894214,1701.45331617,1919.42064323,1521.85671121,1494.67954611,1698.68536962
BE00,BE00,Other RES,2246.3100192300003,2245.72105894,2245.73011309,2242.83835327,2239.09248065,2248.45832263
BE00,BE00,Wind Offshore,29867.79588209,30975.59228317,27926.07936916,27087.17651779,27973.42627715,25295.36987668
BE00,BE00,Biofuels,1296.49265751,1344.71411446,1504.63823852,1151.99423718,1103.93494405,1328.72785787
BE00,BE00H2R1,Solar,9619.06420567,9384.82245159,9546.47519023,3780.68054351,3634.93238454,3784.60634772
BE00,BE00H2R1,Wind Onshore,16016.48582757,16373.92777914,15765.5252209,12764.67639355,12991.41825046,12566.90067476
BE00,BE00RETE,Solar,21087.04463575,20228.05180361,20678.20717397,18889.02304497,18107.87486355,18605.38384264
BG00,BG00,Gas,3425.81965235,2809.58814011,3469.5340667100004,3393.17622314,3152.56169528,3469.24296817
BG00,BG00,Hydro,6362.360380980001,6302.2371305100005,5665.03961053,5309.56012628,5198.84233768,4845.65769551
BG00,BG00,Solar,4626.13118711,4791.21443157,4573.90769399,1796.39064386,1862.37771309,1776.60469921
BG00,BG00,Wind Onshore,1766.29637246,1696.48070605,1588.39015043,1780.70456589,1705.58018213,1594.63152303
BG00,BG00,Other RES,1187.74787482,1187.74787482,1187.74787482,1190.89405664,1190.89405664,1190.89405664
BG00,BG00,Wind Offshore,377.29142628,363.46924893,336.6841772,2001.9129709,1925.6521924,1780.47441348
BG00,BG00H2R1,Solar,16644.83738992,17345.48841752,16965.93988315,6538.48522821,6979.60046927,6898.68607895
BG00,BG00H2R1,Wind Onshore,29226.28954192,28550.78843827,27294.85579598,15142.80011698,14744.71101598,13951.14746398
BG00,BG00RETE,Solar,10884.81382297,11254.62000052,10806.90705556,8452.95011847,8827.31038387,8440.7316275
CH00,CH00,Gas,83.28306536,21.06156115,119.32144701,,,
CH00,CH00,Hydro,39383.02174989,41149.30259998,40931.27097543,37191.11674881,38887.81806246,38754.50710395
CH00,CH00,Solar,4384.84895736,4383.39511814,4553.37449135,,,
CH00,CH00,Wind Onshore,6339.8705351,5748.29023755,5373.86480472,1108.30691552,1014.95999558,969.10265559
CH00,CH00,Other Non RES,997.25274701,997.25274701,997.25274701,999.99999976,999.99999976,999.99999976
CH00,CH00,Other RES,8712.0,8712.0,8712.0,8736.0,8736.0,8736.0
CH00,CH00RETE,Solar,7539.9708869,7537.47093639,7829.75911731,,,
CY00,CY00,Gas,834.4383298,754.1824228,775.64836235,1062.46192131,1023.71321444,1043.8389554
CY00,CY00,Solar,4161.34529403,4199.08363439,4110.49214973,3437.95742722,3435.7394916000003,3336.98109648
CY00,CY00,Wind Onshore,1727.2582214,1891.06972261,2093.7490323,483.92168034,521.8914171,581.97218011
CY00,CY00,Other RES,51.72389077,51.36362743,51.84983361,61.38355115,61.26070619,61.7758986
CY00,CY00RETE,Solar,125.76188666,126.24490713,121.9814806,88.1587255,88.48533453,85.55658155
CZ00,CZ00,Gas,9328.8991182,7544.929943970001,10329.83884217,5821.09341781,5229.267751390001,6683.38193457
CZ00,CZ00,Hydro,3259.4230087,2635.28930178,3249.26323034,3154.29789509,2412.39252166,3090.9486815
CZ00,CZ00,Solar,10775.96278513,10927.28112527,11018.19562351,4528.75889727,4588.00076085,4620.86869888
CZ00,CZ00,Wind Onshore,3921.39854818,3698.3972891,3493.8572457600003,9169.79754964,8639.35150013,8181.96934372
CZ00,CZ00,Other Non RES,5510.65231995,5510.65231995,5510.65231995,5530.76525617,5531.17080432,5529.69670178
CZ00,CZ00,Other RES,4340.40188473,4340.40188473,4340.40188473,4354.12430961,4354.72191388,4353.65871331
CZ00,CZ00H2R1,Solar,16632.59319087,17612.62122495,17423.662866439998,10879.66145924,11612.98408389,11489.84761863
CZ00,CZ00H2R1,Wind Onshore,41708.1038326,39858.51307546,37929.80684419,29416.78290387,28000.83863149,26756.62733691
CZ00,CZ00RETE,Solar,6075.983167439999,6161.30340341,6212.56517667,3269.60788371,3312.37846802,3336.72913676
DE00,DE00,Gas,63527.952683340016,51350.76185181,66214.42513876,46858.02281725,41235.43302459,52209.47422953002
DE00,DE00,Hydro,33667.98504078,32063.53959934,33920.55926268,31602.9552283,29588.414099329995,32238.62256845
DE00,DE00,Solar,77144.45686686,77638.24205485,78078.49425735,60045.37814128,60981.60312459,61702.33619537
DE00,DE00,Wind Onshore,162981.87693192,162254.70433144,149254.38414238,157567.58887722,158649.30842433,147251.75456561
DE00,DE00,Other Non RES,44284.42053289,47021.95468398,49424.32737743,46214.82394782,48206.05546575,50503.61880481
DE00,DE00,Other RES,50057.77055864,50049.32851813,50132.88385941,48465.32823778,48669.399239440005,49390.85108171
DE00,DE00,Wind Offshore,236439.59368124,246815.89305358,234049.29559784,284288.5698117,297891.85497355,284740.98926161
DE00,DE00H2R1,Solar,22693.4203529,23390.08951865,23476.1645805,,,
DE00,DE00H2R1,Wind Onshore,218201.26643954,232996.5569668,226986.3046544,186773.8068045,192950.93769474,186972.87216048
DE00,DE00H2R4,Solar,4490.31486248,4606.58843688,4697.30480222,,,
DE00,DE00H2R4,Wind Onshore,16250.45452322,16573.37618713,16350.51533708,2999.404261,3028.54352812,3042.07996302
DE00,DE00H2R4,Wind Offshore,47233.26918939,49494.77181745,47505.70763897,13995.53496929,14678.61895629,14262.82619118
DE00,DE00RETE,Solar,154226.03117183,155877.51412159,156584.48790514,73724.9760773,74251.03871491,74548.17342906
DKE1,DKE1,Gas,328.68801337,114.65051715,381.87295378,46.26883167,8.88476667,20.67418792
DKE1,DKE1,Solar,4129.14991063,4114.46124559,4145.32548978,1667.97416517,1724.93995188,1735.09512113
DKE1,DKE1,Wind Onshore,8709.15489909,9294.39977303,8569.681495159999,5874.11642856,6414.95538389,6229.26079366
DKE1,DKE1,Other Non RES,43.15602145,44.57128252,46.56947266,40.36173253,41.3858397,45.98623492
DKE1,DKE1,Other RES,62.59371367,64.2554667,66.01358167,59.72918938,61.46551121,64.95821208000001
DKE1,DKE1,Wind Offshore,25563.78940978,27033.7099811,24961.61597745,25816.75886839,27318.24231142,25383.90989691
DKE1,DKE1,Biofuels,1102.70241626,1031.2457234,1293.00478605,1095.3094564,1052.43505395,1374.04257619
DKE1,DKE1H2R1,Solar,2992.65432163,3071.79849199,3139.4167625,31.77609756,30.19461943,30.50135421
DKE1,DKE1H2R1,Wind Onshore,1766.84372595,1961.42056245,1918.69593084,101.89791463,106.74856513,105.94688603
DKE1,DKE1H2R4,Solar,1779.69523298,1761.49108102,1784.63108706,,,
DKE1,DKE1H2R4,Wind Onshore,2701.41619559,2822.26356341,2560.56894039,,,
DKE1,DKE1H2R4,Wind Offshore,920.85074898,986.12195155,889.52360616,5280.7452188,5562.73241664,5326.85886837
DKE1,DKE1RETE,Solar,4296.429100460001,4273.83849344,4237.63473997,2551.35686017,2515.53784185,2517.46128493
DKKF,DKKF,Wind Offshore,1581.48496735,1930.39226096,1917.59320369,,,
DKW1,DKW1,Gas,328.24496607,121.56427784,291.57446457,106.43804621,52.98635774000001,75.99448
DKW1,DKW1,Solar,6216.55533267,6335.74879146,6449.28788652,2503.91576753,2612.1609255,2671.45791392
DKW1,DKW1,Wind Onshore,7802.602730160001,8316.273830310001,8474.90179811,5502.8550724100005,5910.64442771,6350.63853945
DKW1,DKW1,Other Non RES,105.36533417,111.89321319,128.83735401,105.04435748,109.00048766,127.6850157
DKW1,DKW1,Other RES,356.17345811,367.36714202,392.19747382,354.95371411,367.54921046,394.9692884100001
DKW1,DKW1,Wind Offshore,74444.89379848,70880.261209,71592.24421741,107941.34390663,102477.05841037,104215.14924801
DKW1,DKW1,Biofuels,827.1710233000001,833.28821554,1092.60278784,992.2014205,1028.72665559,1290.0695769499998
DKW1,DKW1H2R1,Solar,3652.76998084,3702.05838981,3844.49444218,714.74016915,725.63998132,728.03996692
DKW1,DKW1H2R1,Wind Onshore,4156.92824012,4261.93972698,4811.7083028100005,2730.26746454,2739.28053553,2799.94630522
DKW1,DKW1H2R4,Solar,6876.617136,7106.4309021,6996.46126637,,,
DKW1,DKW1H2R4,Wind Onshore,453.73603252,455.62138316,474.34732882,200.71878876,202.68528875,212.59199072
DKW1,DKW1H2R4,Wind Offshore,51755.66392435,49088.40125507,49256.1707888,10646.44186758,10092.0865633,10168.35245928
DKW1,DKW1RETE,Solar,6816.1537931600005,6674.79672105,6724.10669271,4529.52197851,4422.45019187,4493.8506927
EE00,EE00,Solar,1059.24317013,1007.2638523,1054.63749948,324.92623068,308.77779191,326.6709363
EE00,EE00,Wind Onshore,4971.27169747,5030.99201908,3763.67016735,1698.31172814,1746.35551167,1325.41956237
EE00,EE00,Other Non RES,1310.64006783,1309.79318717,1322.02498088,1272.72453608,1287.14468023,1303.37417481
EE00,EE00,Other RES,1035.34418628,1036.24262398,1047.44701161,1004.74330862,1013.5615698,1032.89970285
EE00,EE00,Wind Offshore,4374.67319465,4179.33996409,3710.49622816,6003.746563080001,5712.67180343,5108.80570603
EE00,EE00,Biofuels,175.37191326,219.54420003,336.15517098,239.65864175,303.86187368,447.30134616
EE00,EE00H2R1,Solar,365.38051079,382.29328304,418.1003543,,,
EE00,EE00H2R1,Wind Onshore,3134.38573029,3477.62676819,3235.42324909,,,
EE00,EE00RETE,Solar,628.96313039,605.95208186,614.53927444,450.92915143,426.8121028,445.49720587
ES00,ES00,Gas,26262.79630449,21844.52195593,28383.20495882,23307.10516786,17082.18068958,23230.61828918
ES00,ES00,Hydro,38906.13112453,38515.77458484,41549.03972721,35180.5971683,33408.11855412,37569.40365312
ES00,ES00,Solar,117656.55509122,115063.56733401,118109.41542365,85354.51089894,83908.66652710001,86358.69006604
ES00,ES00,Wind Onshore,125513.42066797,118465.26806755,122127.5891662,109626.68603114,103052.44419378,107046.82467951
ES00,ES00,Other Non RES,18708.72744996,18752.20462253,18780.71122937,18544.10763483,18638.3675803,18604.86947502
ES00,ES00,Other RES,7575.56892273,7595.82954799,7596.62291633,7487.34597809,7543.35087097,7525.31437554
ES00,ES00,Wind Offshore,16701.51018942,15030.96210061,16498.44570136,59189.53552829,53406.14133267,58378.752014100006
ES00,ES00H2R1,Solar,53940.26666106,55262.55863528,54751.71663527,68089.8207176,68301.70126378,68088.23233645
ES00,ES00H2R1,Wind Onshore,129599.24299819,126380.14943701,130642.01496835,44514.28448518,41339.00594999,43181.10396012
ES00,ES00HER4,Solar,9832.42767463,9839.59107879,9856.09059062,17146.24735483,17033.17884626,17127.96676425
ES00,ES00HER4,Wind Onshore,13552.74189088,12721.28312137,13108.54442321,8155.41981273,7617.23199463,7887.9458874
ES00,ES00RETE,Solar,101999.49325541,101179.57894992,102961.18310498,48019.6791622,46913.75970409,48077.60164324
FI00,FI00,Gas,4.80705807,8.787,18.05395139,1.74,0.261,3.045
FI00,FI00,Hydro,13738.64737284,17647.80117089,12459.33306092,13803.44737284,17677.52395154,12470.14920616
FI00,FI00,Solar,5319.20160601,4973.62936088,5405.49570628,966.64353932,921.41754828,1008.2182569
FI00,FI00,Wind Onshore,61707.62917906,54199.46037217,51960.532657740005,59919.04809364,53066.80941045,50940.01776779
FI00,FI00,Other Non RES,95.94405796,95.84047744,95.76490049,86.57198234,89.70459348,93.01744653
FI00,FI00,Other RES,11372.73727574,11363.25227162,11353.2067706,10679.96557062,10918.12028533,11128.32730997
FI00,FI00,Wind Offshore,30478.35043494,27089.05676613,25064.73311913,21593.24499834,19422.85878903,18034.52432906
FI00,FI00,Biofuels,1005.27043953,1368.85732607,1810.29056015,1460.14978032,1731.1996466,2373.81642356
FI00,FI00,Nuclear,4251.85303379,5280.98338014,6561.05291468,29617.57230162,31740.90633809,35247.46829992
FI00,FI00H2R1,Wind Onshore,80723.87070636,81878.87002568,86995.25902734,56164.9889048,50350.46696686,49760.64410228
FI00,FI00H2R4,Solar,1226.15969159,1231.94801189,1292.01362195,,,
FI00,FI00H2R4,Wind Onshore,53537.37216642,48103.11508038,47499.17681203,18944.28464543,17193.21256812,16988.14071022
FI00,FI00RETE,Solar,10594.21318339,9928.77685256,10790.04739231,3200.96299917,2995.2487285,3264.59214998
FR00,FR00,Gas,13239.28171684,9992.90767768,14107.16271523,6613.18977739,5455.44789298,7020.63375965
FR00,FR00,Hydro,76679.46178598,71549.64975119999,58622.21149631,76528.34584444,71339.48804764,58141.43280789
FR00,FR00,Solar,60011.45044276,58159.67073292,60960.5993633,32286.82272415,31548.02783536,32874.07817595
FR00,FR00,Wind Onshore,112621.79196547,109526.35188268,105936.56838134,112536.00278532002,109091.99673834,105681.08269745
FR00,FR00,Other Non RES,4272.956208,4296.2466063,4291.18990427,4282.55701992,4291.85627632,4282.47225107
FR00,FR00,Other RES,11690.53533997,11731.57804488,11689.46413845,11666.78983955,11661.30790583,11627.42546334
FR00,FR00,Wind Offshore,181604.43591937,191642.32707448,177730.77850257,207795.20977587,218973.91569428,203035.53823938
FR00,FR00,Nuclear,81584.49218617,85209.39525447,89713.25265243,309241.40055611,315677.89804324,330527.08208848
FR00,FR00H2R1,Solar,50538.27781656,49374.05388546,51349.96393418,73003.2373915,73232.71073469,75652.47539435
FR00,FR00H2R1,Wind Onshore,191251.82604455,192861.51273513,191599.07872416,124874.5419295,122131.80002165,119172.44507392
FR00,FR00H2R4,Solar,14182.52003221,13503.31914953,14418.8059459,,,
FR00,FR00H2R4,Wind Onshore,8112.28291281,7883.84321944,7746.94242154,,,
FR00,FR00H2R4,Wind Offshore,21592.23857769,22951.86134253,21161.98845011,,,
FR00,FR00HER4,Solar,2160.97281839,2107.73381736,2195.99879134,19002.50437223,17960.81511215,19413.57684625
FR00,FR00HER4,Wind Onshore,1296.77045185,1261.0105256299998,1230.18493269,,,
FR00,FR00HER4,Wind Offshore,2597.0237308,2731.04187927,2540.96200066,65906.9814384,69000.99002771,64278.79371232
FR00,FR00RETE,Solar,132442.09411524,129854.91998387,133863.06332098,107349.46236516,104801.58985156,109122.07319343
FR00,FR15,Hydro,213.37601883,360.58147375,355.76011914000003,239.08255655,363.52217094,350.8372762
FR00,FR15,Solar,247.14352424,166.55046232,165.87233104,189.95520577,124.54683504,141.61009504
FR00,FR15,Wind Onshore,114.84990452,72.43079242,74.84914001,89.95515897,64.9336561,70.21419667
FR00,FR15,Other RES,31.59472548,23.50712815,25.52065998,28.43563975,22.33487785,23.66787756
GR00,GR00,Gas,15055.24594926,13653.39594197,15554.281155329998,14253.04604094,13167.50567231,14479.67774015
GR00,GR00,Hydro,7934.7112464,6505.52958583,7765.919060910001,7602.82597103,6216.87857317,7461.355148639999
GR00,GR00,Solar,10940.73894169,11193.58913091,10810.76247574,4785.0250794,4888.56542005,4727.94898439
GR00,GR00,Wind Onshore,17493.82098752,17527.57729137,17095.59246371,17536.09812989,17616.38355626,17094.60560538
GR00,GR00,Other RES,5027.09205878,5027.09205878,5027.09205878,5028.505811319999,5029.56781978,5027.38656923
GR00,GR00,Wind Offshore,7653.44215981,7934.49610924,7943.20666581,17175.20553389,17871.46397987,17769.570991649998
GR00,GR00H2R1,Solar,21575.73369519,21798.02114035,21470.96501461,14609.8572135,14731.68422996,14558.62137367
GR00,GR00H2R1,Wind Onshore,22878.38714625,22373.59850109,22360.18344632,9586.31207094,9284.26184233,9203.49729985
GR00,GR00RETE,Solar,23650.91399668,24444.07417857,23976.26713132,20563.05098339,21290.2743427,21076.06533589
GR03,GR03,Solar,628.92377761,619.20765678,598.59023084,690.65607059,672.9694283499999,643.8316101300001
GR03,GR03,Wind Onshore,18993.96862226,20078.43089714,20666.33917797,19105.76100051,20092.67721094,20571.52311834
HR00,HR00,Gas,16.38641352,,2.99002869,,,
HR00,HR00,Hydro,8169.511101319999,8005.81976907,8658.53203278,8045.379366539999,7860.615092769999,8509.98443137
HR00,HR00,Solar,3167.26640332,3232.70747339,3179.08056811,1412.19995623,1444.56112998,1410.61486849
HR00,HR00,Wind Onshore,6398.49822513,6656.9566362000005,6601.95940308,6414.7012718000005,6689.020725550001,6649.34757562
HR00,HR00,Other Non RES,1742.4,1742.4,1742.4,1747.2,1747.2,1747.2
HR00,HR00,Other RES,2787.84,2787.84,2787.84,2795.52,2795.52,2795.52
HR00,HR00H2R1,Solar,3230.09826723,3239.91717975,3152.5237727,38.24322503,37.37205863,37.55739801
HR00,HR00H2R1,Wind Onshore,19981.19547683,20563.65003821,20366.93959394,52.98798204,53.19351441,53.09839751
HR00,HR00RETE,Solar,2367.32453735,2412.58887932,2383.81205429,894.37437513,911.38233344,899.36809125
HU00,HU00,Gas,1916.62399226,1483.23403343,1931.02408124,1530.54084637,1470.44497062,1691.59672819
HU00,HU00,Hydro,215.35884615,212.41,222.91394231,215.73221154,213.08480769,223.18788462
HU00,HU00,Solar,13931.70363206,14494.75318171,14425.88743419,7432.47737374,7732.98970191,7688.31671599
HU00,HU00,Wind Onshore,697.57147014,689.249065,662.22101942,699.08658109,689.43987969,663.48476944
HU00,HU00,Other Non RES,961.95872525,974.9343073,1123.64188712,1091.70612746,1119.24644712,1187.54071673
HU00,HU00,Other RES,2666.24113024,2666.24113024,2666.24113024,2673.67961847,2673.67961847,2673.67961847
HU00,HU00H2R1,Solar,11158.71726058,12119.08213148,11961.23420792,10992.70061526,11361.46179315,11054.30987435
HU00,HU00H2R1,Wind Onshore,49807.20002453,50149.3660223,47399.32513345,8263.4617763,8237.18930624,7849.83235783
HU00,HU00RETE,Solar,11467.21795643,11933.28908575,11871.01441992,7732.25782748,8041.69652946,7989.99543243
IE00,IE00,Gas,4099.84780582,4144.00555298,3734.50802899,5824.18693965,5322.75456616,6302.54761639
IE00,IE00,Hydro,592.41192473,697.52942154,694.45312501,917.86298685,989.51648435,1010.84655429
IE00,IE00,Solar,626.95080065,573.92694074,584.58076685,648.55502299,610.11122992,635.98728773
IE00,IE00,Wind Onshore,3435.99413062,3856.55825756,3883.96101358,10986.79220351,11518.37401837,10814.29032796
IE00,IE00,Other Non RES,168.02177135,170.2565238,171.48152163,298.65002158,291.4467613,308.07239821
IE00,IE00,Other RES,448.47318005,453.65260707,458.09944742,799.36565989,779.70484493,825.10065814
IE00,IE00,Wind Offshore,86433.69864138,84180.72291427999,88085.62569151,42202.13246944,41349.28663873,42313.09658765
IE00,IE00,Biofuels,70.153947,69.07357603,71.94441008,117.91696861,116.00546066,137.57440622
IE00,IE00H2R1,Solar,381.83118531,349.82987519999995,333.10905269,275.61652675,248.65710333,266.34072531
IE00,IE00H2R1,Wind Onshore,6647.48602923,7324.17212602,7512.99902196,12292.17474187,12292.5993516,12543.28253827
IE00,IE00H2R4,Solar,1003.03734523,934.98355606,968.55254828,,,
IE00,IE00H2R4,Wind Onshore,11931.99999039,12308.08012736,11948.34328567,978.47264569,1008.80690684,966.8550243
IE00,IE00H2R4,Wind Offshore,9893.68700366,9576.20340013,9995.389963910002,4224.22765673,4163.405676009999,4213.721920280001
IE00,IE00RETE,Solar,999.41030521,952.51104419,961.74279246,451.91363499,430.86156192,434.856558
IT00,IT00,Gas,97923.27513772996,96857.00670283,106988.49082624,81837.01043648999,79733.31039080002,87332.61900148002
IT00,IT00,Hydro,54836.18745720001,57104.7732948,56071.7731134,54012.549635790005,56710.87546409,55612.90049153001
IT00,IT00,Solar,69209.23124553,66499.96416628001,68114.26402335,44054.34284244,42445.29896489,43246.9724805
IT00,IT00,Wind Onshore,34768.59125958,33479.4695036,34170.0706927,32985.37263667,31679.63129827,32382.903858840004
IT00,IT00,Other Non RES,13292.32532196,13320.98924365,13315.08617273,13283.87697772,13339.57978601,13296.1490005
IT00,IT00,Other RES,22724.75878877,22768.12761294,22758.0805914,22701.18363627,22785.187861,22714.00329574
IT00,IT00,Wind Offshore,32540.25848712,30395.9064052,32862.183434570004,34399.59754172,32524.63188129,34989.23327147
IT00,IT00H2R1,Solar,74076.65107888,72205.6301089,72052.69240689001,69285.99077500001,67790.05870381,67738.13796064002
IT00,IT00H2R1,Wind Onshore,33367.71984799999,33497.0115222,34538.32182423,16526.49019643,16287.3131706,16992.672495140003
IT00,IT00HER4,Solar,4794.582245959999,4908.658630530001,4754.60532411,5137.47686774,5152.6450502,5025.75501669
IT00,IT00HER4,Wind Onshore,3360.47408684,3048.39771,3402.79922713,2465.9621866,2266.18071084,2558.94365006
IT00,IT00HER4,Wind Offshore,2899.80289136,2497.25576397,2855.60846663,2987.61760581,2600.8849611600003,3006.93566752
IT00,IT00RETE,Solar,116003.36412178,113157.56936113,115153.59272645002,76444.78630117001,73914.27685210001,75702.11937392999
LT00,LT00,Gas,52.36864519,34.53032837,136.76250234,46.10939407,39.25435921,66.01003516
LT00,LT00,Hydro,1353.53911867,1220.97445015,1293.85110183,1256.43165047,1133.91958935,1117.83950122
LT00,LT00,Solar,1473.97142519,1441.69619554,1473.43638377,474.96970969,464.94194983,478.06396022
LT00,LT00,Wind Onshore,6591.71232093,6808.27073237,5710.89059646,6630.59907661,6795.2555669700005,5733.10364055
LT00,LT00,Other Non RES,1149.40858652,1159.31727402,1170.45339876,1155.00737737,1157.5176346,1172.27177128
LT00,LT00,Other RES,1807.53483231,1820.81999978,1839.21124417,1813.22048228,1817.61263522,1842.74553127
LT00,LT00,Wind Offshore,7374.6102291,7653.28342151,6881.25062492,9694.80877723,10018.14234269,9021.81742467
LT00,LT00H2R1,Solar,519.01130716,528.72851938,540.90925388,,,
LT00,LT00H2R1,Wind Onshore,7626.469746809999,8221.14629495,7714.524913380001,5524.08500977,5730.22440221,4988.85646801
LT00,LT00RETE,Solar,1197.7190815,1173.42867017,1193.17487616,666.08945491,649.26015615,665.0190292
LUG1,LUG1,Gas,160.06963788,85.72805538,99.57242925,,,
LUG1,LUG1,Hydro,117.50505537,133.55665073,113.61540247,127.69227136,140.94093848,119.14409451
LUG1,LUG1,Solar,2256.79405585,2209.80088003,2270.49665933,157.19148431,154.25331276,163.14237582
LUG1,LUG1,Wind Onshore,1361.8390937099998,1338.90063454,1289.76158422,1029.84821729,1000.26888219,966.08080138
LUG1,LUG1,Other Non RES,826.97399843,831.25883217,826.01800909,869.92353303,871.13030774,870.93251652
LUG1,LUG1,Other RES,648.7261916599999,654.69397534,650.63338847,685.94780121,687.05584534,687.4764374599999
LUG1,LUG1RETE,Solar,692.00867034,683.30570999,677.9066908,543.3656909,532.93141058,545.15239927
LUV1,LUV1,Hydro,428.58957509,405.54870523,438.80585317,323.54478486,334.73876029,341.90994037
LV00,LV00,Gas,72.41876267,50.59737768,145.8902698,65.95807265,41.25303619,92.27033954
LV00,LV00,Hydro,2684.87727619,3388.71059738,3135.4486553,2681.6624402,3390.92970263,3134.95066658
LV00,LV00,Solar,717.44945733,697.4814914399999,711.13213024,182.42531692,180.22487634,183.75726406
LV00,LV00,Wind Onshore,831.76969763,864.60839666,682.7613325499999,754.7354213899999,794.681307,632.5457818
LV00,LV00,Other RES,2580.82272414,2592.61983697,2600.24825308,2477.95477738,2496.6564382,2540.74955865
LV00,LV00,Wind Offshore,5474.65830354,5550.74705119,5026.99576786,7968.86244404,8081.42204941,7323.59414872
LV00,LV00H2R1,Solar,566.67046954,577.21633941,570.76110631,,,
LV00,LV00H2R1,Wind Onshore,2469.13703359,2565.75787044,2527.33513334,93.240817,94.38343873,86.47976833
LV00,LV00RETE,Solar,219.20962951,209.54628347,214.31722033,85.46162463,81.73061656,83.5665151
ME00,ME00,Hydro,3188.5925813900003,3129.59095732,3722.73357938,3207.90885181,3173.09858673,3739.39331865
ME00,ME00,Solar,6373.4883204200005,6508.4254182,6326.72743538,990.65773237,1013.86353785,981.93336168
ME00,ME00,Wind Onshore,2359.27941675,2347.85987086,2336.12247441,2567.69106475,2543.7527286,2547.06955256
ME00,ME00,Other RES,394.43265844,393.91128651,394.80601204,427.672,428.064,428.064
MK00,MK00,Hydro,3294.6776459,2945.63086693,3206.8529641,2888.60141763,2629.08362071,2954.52740654
MK00,MK00,Solar,13918.09117562,14452.43678205,13643.53477976,1752.81029717,1823.74559812,1716.15005725
MK00,MK00,Wind Onshore,552.34630536,587.37931499,551.5340941,474.0391984,490.99317603,452.48382282
MK00,MK00,Other RES,209.45927324,207.98329354,211.26586898,239.1159426,239.1159426,239.1159426
MK00,MK00RETE,Solar,55.95393325,55.94331702,55.1207057,13.41691559,13.95989103,13.13629917
MT00,MT00,Gas,1442.56497186,1723.65079351,1519.10206154,2079.98789814,2368.02658784,2121.52111482
MT00,MT00,Solar,981.78901262,1020.86041104,985.31521871,533.06875742,543.20236992,536.56645537
MT00,MT00,Wind Onshore,2073.7363555,1655.91281742,2094.14415534,1307.82782283,1040.8359031,1332.59683677
MT00,MT00,Wind Offshore,339.04759675,271.98601791,292.18043896,636.16017,513.9925769,638.40231148
MT00,MT00RETE,Solar,329.35093387,341.95406595,325.11917863,257.24594261,261.30861325,260.1983016
NL00,NL00,Gas,70884.61214109001,61748.607641480005,79648.16504295,63155.8321406,54872.60929333,68044.61659163999
NL00,NL00,Hydro,99.79360963,111.67151864,114.69622917,98.03558448,107.81041566,114.0260518
NL00,NL00,Solar,44972.08589211,42971.07716317,43325.07436207,37923.40255094,36051.8214049,37373.78939628
NL00,NL00,Wind Onshore,21608.21000868,23714.93126522,22065.6542455,20635.35968665,22268.77175447,20870.05605432
NL00,NL00,Other Non RES,1427.91703923,1446.73438085,1480.78354016,1417.69946526,1414.70827544,1483.31451663
